"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG"
"Sam Moll","CIN","RP","45.3","45","2","0","4.23","1.35","21","41","20","5","47","0","2","0"
"Tyler Ferguson","ATH","RP","44.4","44","2","0","4.29","1.38","21","40","22","5","43","0","2","0"
"DJ Herz","WSH","SP","22.4","24","1","0","4.13","1.35","10","19","11","3","13","2","1","0"
"Ryan Watson","BOS","SP,RP","39.9","35","2","0","4.36","1.36","19","40","14","5","38","0","2","0"
"Gregory Santos","SF","RP","44.8","40","2","3","3.85","1.39","19","43","19","3","44","0","2","0"
"Jackson Rutledge","WSH","SP,RP","59.3","51","3","1","4.71","1.40","31","59","24","9","54","0","3","0"
"Will Klein","LAD","RP","48.4","53","3","0","4.33","1.45","23","43","28","6","47","0","3","0"
"Brennan Bernardino","COL","SP,RP","56.1","50","3","0","4.51","1.45","28","57","25","6","58","0","3","0"
"Bailey Falter","KC","SP","68.5","49","3","0","4.66","1.34","35","70","23","10","40","5","4","0"
"Tristan Beck","SF","RP","32.7","28","2","0","4.16","1.28","15","31","11","4","27","0","1","0"
"Anthony Nunez","BAL","RP","24.3","26","2","0","3.93","1.29","11","21","10","3","24","0","1","0"
"Dylan Smith","DET","RP","23.5","21","1","0","4.11","1.35","11","22","10","3","21","0","1","0"
"Bryan Hoeing","SD","RP","19.1","15","1","0","4.13","1.31","9","19","6","2","17","0","1","0"
"Ryan Gusto","MIA","SP,RP","52.5","45","3","0","4.50","1.36","26","53","18","7","33","4","3","0"
"Rico Garcia","BAL","RP","52.9","55","2","0","4.42","1.36","26","49","23","8","51","0","2","0"
"Travis Adams","MIN","SP,RP","61.9","49","3","0","4.59","1.39","32","64","22","8","44","2","3","0"
"Keaton Winn","SF","SP,RP","30.5","27","2","0","4.17","1.31","14","31","9","4","21","2","1","0"
"Garrett Hawkins","SD","RP","26.5","27","2","0","4.23","1.33","12","24","11","4","26","0","2","0"
"Luinder Avila","KC","RP","36.5","32","2","0","4.25","1.38","17","35","16","4","34","0","2","0"
"Liam Hendriks","MIN","RP","27.5","28","2","0","4.31","1.32","13","26","11","4","28","0","2","0"
"Brandyn Garcia","ARI","RP","47.7","43","3","0","4.19","1.43","22","46","22","5","45","0","3","0"
"JT Brubaker","SF","RP","53.4","44","2","0","4.37","1.36","26","53","20","6","47","0","3","0"
