"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG"
"Shohei Ohtani","LAD","SP,DH","117.7","142","9","0","3.34","1.11","44","92","39","14","23","23","5","1"
"Tarik Skubal","DET","SP","193.0","235","14","0","2.72","0.97","58","148","40","19","31","31","7","1"
"Paul Skenes","PIT","SP","185.8","221","13","0","2.82","1.04","58","145","48","15","31","31","7","1"
"Garrett Crochet","BOS","SP","188.1","230","14","0","3.03","1.07","63","152","49","20","31","31","8","1"
"Cristopher Sanchez","PHI","SP","191.1","188","13","0","3.19","1.14","68","171","47","16","31","31","8","1"
"Yoshinobu Yamamoto","LAD","SP","161.0","175","12","0","3.24","1.10","58","129","48","16","27","27","6","0"
"Hunter Brown","HOU","SP","179.7","194","12","0","3.46","1.17","69","151","59","19","31","31","8","1"
"Chris Sale","ATL","SP","158.9","195","11","0","3.21","1.10","57","132","43","17","27","27","6","0"
"Logan Gilbert","SEA","SP","165.4","185","11","0","3.40","1.06","62","136","39","21","29","29","7","1"
"Bryan Woo","SEA","SP","186.6","189","13","0","3.41","1.06","71","157","40","24","31","31","9","0"
"Logan Webb","SF","SP","196.3","187","14","0","3.28","1.17","72","184","46","15","32","32","9","1"
"Jacob deGrom","TEX","SP","161.5","179","11","0","3.46","1.07","62","133","39","22","28","28","8","0"
"Cole Ragans","KC","SP","155.3","192","11","0","3.37","1.15","58","124","55","17","28","28","7","0"
"Max Fried","NYY","SP","182.5","172","13","0","3.31","1.17","67","159","54","17","30","30","8","1"
"Freddy Peralta","NYM","SP","164.3","182","11","0","3.78","1.19","69","135","61","21","30","30","8","0"
"George Kirby","SEA","SP","169.8","166","12","0","3.58","1.11","68","155","33","20","30","30","8","0"
"Mason Miller","SD","RP","65.5","102","4","33","2.54","0.99","18","40","25","6","64","0","2","0"
"Joe Ryan","MIN","SP","168.6","185","11","0","3.81","1.10","71","145","40","25","29","29","9","0"
"Dylan Cease","TOR","SP","170.8","201","11","0","3.70","1.21","70","142","65","20","31","31","9","0"
"Edwin Diaz","LAD","RP","65.3","90","5","37","3.07","1.07","22","47","23","7","65","0","2","0"
"Jesus Luzardo","PHI","SP","176.8","197","12","0","3.67","1.18","72","153","55","22","31","31","9","0"
"Framber Valdez","DET","SP","191.1","177","13","0","3.47","1.22","74","170","63","16","30","30","9","2"
"Andres Munoz","SEA","RP","63.3","80","4","32","2.93","1.12","21","46","25","5","64","0","3","0"
"Kyle Bradish","BAL","SP","141.1","151","9","0","3.55","1.15","56","119","44","15","26","26","7","0"
"Jhoan Duran","PHI","RP","67.1","78","5","32","2.90","1.12","22","54","20","5","69","0","3","0"
"Hunter Greene","CIN","SP","151.9","182","10","0","3.67","1.10","62","118","49","21","26","26","7","1"
"Cade Smith","CLE","RP","69.5","90","5","32","2.90","1.07","22","53","21","6","70","0","3","0"
"Nick Pivetta","SD","SP","170.0","183","10","0","3.89","1.15","73","144","52","26","29","29","9","0"
"Nolan McLean","NYM","SP","150.1","146","10","0","3.83","1.28","64","133","58","16","26","26","8","0"
"Eury Perez","MIA","SP","137.9","151","8","0","3.92","1.17","60","115","46","19","27","27","8","0"
"Kevin Gausman","TOR","SP","179.2","175","12","0","3.89","1.21","78","164","53","24","30","30","9","1"
"Sonny Gray","BOS","SP","171.1","179","11","0","3.73","1.20","71","159","46","21","30","30","9","0"
"Blake Snell","LAD","SP","131.8","163","10","0","3.47","1.21","51","102","57","14","24","24","6","0"
"Aroldis Chapman","BOS","RP","60.1","84","4","31","3.01","1.16","20","43","27","5","63","0","3","0"
"David Bednar","NYY","RP","62.2","76","4","33","3.27","1.12","23","49","21","7","63","0","3","0"
"Spencer Strider","ATL","SP","157.5","185","11","0","3.99","1.22","70","136","56","21","28","28","9","0"
"Tyler Glasnow","LAD","SP","130.2","151","9","0","3.68","1.17","53","104","48","16","23","23","6","0"
"Brandon Woodruff","MIL","SP","146.8","154","10","0","3.79","1.14","62","126","41","21","27","27","8","0"
"Devin Williams","NYM","RP","64.5","86","5","31","3.09","1.15","22","47","27","6","66","0","3","0"
"Emmet Sheehan","LAD","SP","134.7","157","9","0","3.80","1.16","57","111","46","19","34","24","6","0"
"Nathan Eovaldi","TEX","SP","162.0","155","10","0","3.62","1.15","65","144","42","19","27","27","8","1"
"Trey Yesavage","TOR","SP","129.5","148","8","0","3.82","1.24","55","105","56","15","31","24","6","0"
"Jacob Misiorowski","MIL","SP","136.7","157","9","0","3.94","1.27","60","110","63","17","30","25","8","0"
"Chase Burns","CIN","SP,RP","122.2","146","8","0","3.62","1.15","49","103","37","16","27","22","6","1"
"Zack Wheeler","PHI","SP","139.3","159","10","0","3.28","1.09","51","114","37","16","23","23","6","0"
"Nick Lodolo","CIN","SP","151.7","154","9","0","4.07","1.19","69","140","41","21","28","28","9","1"
"Michael King","SD","SP","157.4","164","10","0","3.79","1.23","66","139","55","20","29","29","8","1"
"Luis Castillo","SEA","SP","177.5","166","11","0","3.92","1.19","77","161","51","24","30","30","9","0"
"Ryan Pepiot","TB","SP","167.3","170","10","0","4.08","1.22","76","144","59","25","31","31","10","0"
"Sandy Alcantara","MIA","SP","179.1","148","10","0","4.16","1.27","83","173","53","21","30","30","11","1"
"Cam Schlittler","NYY","SP","127.0","127","8","0","4.00","1.27","57","113","49","15","24","24","7","0"
"Ranger Suarez","BOS","SP","166.7","149","11","0","3.68","1.25","68","160","48","17","28","28","8","0"
"Robbie Ray","SF","SP","171.1","176","10","0","4.20","1.28","80","153","66","25","30","30","10","1"
"MacKenzie Gore","TEX","SP","159.6","181","10","0","3.86","1.25","68","139","60","20","29","29","9","0"
"Bubba Chandler","PIT","SP","143.2","135","8","0","4.20","1.31","67","134","54","18","33","26","8","0"
"Raisel Iglesias","ATL","RP","65.5","70","4","27","3.64","1.14","26","57","18","8","67","0","3","0"
"Drew Rasmussen","TB","SP","155.7","141","10","0","3.65","1.15","63","139","41","17","30","30","8","0"
"Tanner Bibee","CLE","SP","177.2","166","11","0","3.95","1.22","78","163","53","23","30","30","10","1"
"Gavin Williams","CLE","SP","165.7","168","9","0","3.97","1.30","73","145","71","21","30","30","9","0"
"Josh Hader","HOU","RP","54.3","76","4","28","3.20","1.09","19","38","20","7","54","0","3","0"
"Trevor Rogers","BAL","SP","145.8","127","9","0","3.98","1.27","64","138","47","17","26","26","8","1"
"Shota Imanaga","CHC","SP","154.0","140","9","0","4.10","1.15","70","143","35","27","27","27","8","0"
"Jeff Hoffman","TOR","RP","62.9","75","4","26","3.72","1.18","26","51","23","9","65","0","4","0"
"Jack Flaherty","DET","SP","158.1","174","10","0","4.01","1.24","71","142","55","21","29","29","9","0"
"Carlos Rodon","NYY","SP","144.9","152","10","0","3.99","1.21","64","123","52","20","26","26","8","0"
"Edward Cabrera","CHC","SP","137.0","147","9","0","3.90","1.24","59","116","54","16","26","26","7","0"
"Ryan Helsley","BAL","RP","62.9","72","4","27","3.50","1.21","24","53","23","7","62","0","3","0"
"Cade Horton","CHC","SP","128.9","113","8","0","4.04","1.25","58","118","43","16","24","24","7","0"
"Aaron Nola","PHI","SP","168.6","166","10","0","4.16","1.22","78","160","46","25","29","29","9","0"
"Matthew Boyd","CHC","SP","161.5","145","10","0","3.94","1.21","71","149","47","21","29","29","9","0"
"Zac Gallen","ARI","SP","179.1","167","12","0","4.12","1.27","82","169","58","23","31","31","10","0"
"Shane Baz","BAL","SP","151.8","149","9","0","4.20","1.27","71","139","54","21","28","28","9","0"
"Daniel Palencia","CHC","RP","64.6","74","4","29","3.66","1.25","26","54","27","7","64","0","3","0"
"Andrew Abbott","CIN","SP","165.8","150","10","0","4.23","1.26","78","157","52","25","29","29","9","1"
"Carlos Estevez","KC","RP","64.4","57","3","31","4.18","1.27","30","59","23","8","65","0","4","0"
"Pete Fairbanks","MIA","RP","60.7","63","3","27","3.56","1.21","24","52","21","6","61","0","3","0"
"Shane McClanahan","TB","SP","127.6","136","8","0","3.66","1.18","52","112","39","16","23","23","7","0"
"Merrill Kelly","ARI","SP","157.5","141","10","0","4.07","1.24","71","148","47","20","27","27","8","0"
"Kris Bubic","KC","SP","141.1","137","9","0","3.76","1.26","59","131","47","14","31","25","7","0"
"Tatsuya Imai","HOU","SP","148.1","150","8","0","4.26","1.31","70","131","62","19","26","26","7","3"
"Emilio Pagan","CIN","RP","65.9","72","3","27","3.91","1.18","29","55","22","10","66","0","3","0"
"Joe Musgrove","SD","SP","143.0","135","9","0","3.95","1.20","63","135","38","19","26","26","8","0"
"Trevor Megill","MIL","RP","62.9","77","4","18","3.45","1.18","24","51","23","7","63","0","3","0"
"Kenley Jansen","DET","RP","58.5","59","3","25","3.97","1.21","26","50","21","8","60","0","3","0"
"Gerrit Cole","NYY","SP","121.0","122","8","0","3.80","1.18","51","107","36","17","21","21","6","1"
"Jack Leiter","TEX","SP","153.7","148","9","0","4.31","1.29","74","136","62","21","29","29","9","0"
"Jose Soriano","LAA","SP","170.8","155","10","0","3.80","1.33","72","155","72","14","31","31","9","0"
"Shane Smith","CWS","SP","157.5","149","8","0","4.21","1.28","74","142","59","21","29","29","10","0"
"Dennis Santana","PIT","RP","66.8","62","4","24","3.88","1.26","29","61","23","7","67","0","3","0"
"Noah Cameron","KC","SP","147.3","125","9","0","4.22","1.30","69","143","48","20","27","27","9","0"
"Ryan Walker","SF","RP","62.7","66","4","23","3.52","1.20","25","55","20","6","63","0","3","0"
"Connelly Early","BOS","SP","49.3","52","3","0","3.70","1.26","20","43","19","5","20","7","3","0"
"Casey Mize","DET","SP","142.8","124","9","0","4.13","1.26","66","140","40","19","27","27","8","0"
"Shane Bieber","TOR","SP","115.7","106","7","0","3.82","1.20","49","110","29","16","25","20","6","0"
"Abner Uribe","MIL","RP","69.5","82","4","16","3.13","1.21","24","53","31","5","70","0","3","0"
"David Peterson","NYM","SP","161.0","143","10","0","3.93","1.34","70","154","61","15","29","29","8","1"
"Roki Sasaki","LAD","SP","114.6","112","7","0","4.19","1.31","53","105","45","14","34","19","5","1"
"Griffin Jax","TB","RP","65.8","83","4","15","3.03","1.09","22","53","19","6","67","0","3","0"
"Grayson Rodriguez","LAA","SP","119.3","127","7","0","3.95","1.24","52","108","40","16","22","22","7","0"
"Logan Henderson","MIL","SP","111.9","114","7","0","4.13","1.22","51","101","35","18","33","18","7","0"
"Bryce Miller","SEA","SP","142.2","126","9","0","4.15","1.21","66","129","42","21","26","26","8","0"
"Ryne Nelson","ARI","SP,RP","156.2","129","9","0","4.19","1.26","73","153","43","21","33","27","8","0"
"Brady Singer","CIN","SP","167.4","155","10","0","4.38","1.29","81","162","54","23","31","31","11","0"
"Ryan Weathers","NYY","SP","119.8","114","7","0","4.06","1.25","54","109","42","16","32","20","6","0"
"Kodai Senga","NYM","SP","121.3","122","8","0","3.90","1.29","53","104","52","14","29","20","6","0"
"Sean Manaea","NYM","SP,RP","129.0","134","8","0","4.10","1.21","59","114","41","19","34","22","6","0"
"Mitch Keller","PIT","SP","175.8","153","10","0","4.31","1.29","84","174","53","22","31","31","11","0"
"Quinn Priester","MIL","SP,RP","152.1","126","9","0","4.12","1.28","70","146","50","18","27","27","8","0"
"Bryan Abreu","HOU","RP","68.0","90","4","6","3.18","1.17","24","51","29","7","68","0","3","0"
"Seranthony Dominguez","CWS","RP","61.5","69","3","19","3.89","1.29","27","51","28","8","64","0","4","0"
"Robert Suarez","ATL","RP","66.6","69","4","9","3.62","1.18","27","58","20","7","68","0","3","0"
"Clay Holmes","NYM","SP","148.4","121","10","0","3.95","1.35","65","144","56","13","28","28","8","0"
"Michael Wacha","KC","SP","165.1","127","10","0","4.34","1.28","80","163","49","22","29","29","10","0"
"Yusei Kikuchi","LAA","SP","167.0","167","9","0","4.29","1.32","80","160","60","25","31","31","10","0"
"Will Warren","NYY","SP","123.6","122","7","0","4.25","1.31","58","117","45","17","34","21","7","0"
"Brayan Bello","BOS","SP","156.2","127","10","0","4.26","1.34","74","154","55","18","28","28","9","0"
"Parker Messick","CLE","SP","118.8","110","7","0","4.09","1.30","54","113","41","15","23","23","7","0"
"Joey Cantillo","CLE","SP,RP","131.7","139","7","0","3.91","1.31","57","116","57","16","42","21","7","0"
"Zebby Matthews","MIN","SP","118.4","116","7","0","4.09","1.23","54","115","30","17","29","21","7","0"
"Brandon Pfaadt","ARI","SP","164.8","144","10","0","4.39","1.26","80","169","39","24","29","29","10","0"
"Edwin Uceta","TB","RP","61.9","74","4","12","3.75","1.18","26","50","23","8","59","0","3","0"
"Zach Eflin","BAL","SP","142.9","110","9","0","4.38","1.24","70","149","28","22","30","24","8","0"
"Bailey Ober","MIN","SP","156.9","141","9","0","4.36","1.21","76","152","38","26","28","28","9","1"
"Riley O'Brien","STL","RP","62.8","64","3","16","3.73","1.31","26","55","27","5","61","0","3","0"
"Chris Bassitt","BAL","SP","168.4","151","10","0","4.28","1.32","80","165","58","23","34","29","9","1"
"Cody Ponce","TOR","SP,RP","137.2","141","8","0","4.07","1.23","62","125","44","19","37","21","8","0"
"Robert Garcia","TEX","RP","62.1","67","4","19","3.63","1.22","25","54","22","7","65","0","3","0"
"Cade Cavalli","WSH","SP","132.7","113","7","0","4.28","1.34","63","131","47","16","25","25","8","0"
"Braxton Ashcraft","PIT","SP,RP","132.4","119","7","0","3.93","1.29","58","129","42","14","38","22","7","0"
"Mike Burrows","HOU","SP,RP","130.0","131","7","0","4.12","1.24","59","117","44","19","30","24","7","0"
"Seth Lugo","KC","SP","159.9","133","9","0","4.40","1.31","78","158","52","24","28","28","10","0"
"Ian Seymour","TB","SP,RP","105.9","103","6","0","4.04","1.22","48","96","32","14","35","15","6","0"
"Grant Taylor","CWS","RP","85.2","101","5","5","3.28","1.20","31","70","32","7","72","2","4","0"
"Reynaldo Lopez","ATL","SP","130.5","132","8","0","3.97","1.27","58","119","46","16","30","23","7","0"
"Reid Detmers","LAA","RP","136.7","150","8","0","4.20","1.27","64","124","50","19","30","24","8","0"
"Luis Severino","ATH","SP","169.9","135","9","0","4.61","1.33","87","171","55","24","29","29","10","0"
"Jameson Taillon","CHC","SP","153.2","118","9","0","4.44","1.24","76","152","38","25","27","27","9","0"
"Will Vest","DET","RP","66.9","67","4","6","3.41","1.20","25","59","21","6","66","0","3","0"
"Justin Steele","CHC","SP","84.4","80","6","0","3.60","1.18","34","77","23","9","15","15","4","0"
"Chad Patrick","MIL","SP","137.7","129","8","0","4.33","1.29","66","131","46","22","26","26","8","0"
"Jeffrey Springs","ATH","SP","162.9","137","9","0","4.59","1.31","83","162","52","27","29","29","10","0"
"Andrew Painter","PHI","SP","105.7","93","6","0","4.64","1.37","54","106","39","17","27","19","6","0"
"Jacob Lopez","ATH","SP","123.5","129","7","0","4.31","1.28","59","109","49","18","24","24","8","0"
"Jose Berrios","TOR","SP","132.2","111","7","0","4.41","1.29","65","130","41","20","41","19","7","0"
"Kevin Ginkel","ARI","RP","62.3","64","4","13","3.86","1.30","27","57","24","6","62","0","3","0"
"Spencer Schwellenbach","ATL","SP","74.6","73","5","0","3.53","1.12","29","67","16","9","12","12","3","0"
"Eduardo Rodriguez","ARI","SP","134.2","119","8","0","4.40","1.36","66","135","48","18","28","24","8","0"
"Robby Snelling","MIA","SP","80.4","70","4","0","4.17","1.33","37","78","29","10","15","15","5","0"
"Clayton Beeter","WSH","RP","61.9","72","3","16","3.89","1.35","27","50","33","6","58","0","3","0"
"Kirby Yates","LAA","RP","54.9","65","3","8","4.04","1.28","25","45","25","7","56","0","3","0"
"JoJo Romero","STL","RP","62.3","58","4","13","3.68","1.29","25","56","24","6","64","0","3","0"
"Robert Stephenson","LAA","RP","54.9","62","3","11","3.95","1.19","24","47","18","8","55","0","3","0"
"Jeremiah Estrada","SD","RP","68.3","93","4","1","3.35","1.15","25","52","27","8","69","0","3","0"
"Victor Vodnik","COL","RP","63.3","59","3","19","4.30","1.46","30","62","30","7","62","0","4","0"
"Luis Gil","NYY","SP","102.8","102","6","0","4.34","1.33","50","87","50","14","38","15","5","0"
"Max Meyer","MIA","SP","126.1","115","7","0","4.31","1.32","60","124","42","18","28","23","8","0"
"Kyle Finnegan","DET","RP","62.9","60","4","4","3.92","1.28","27","58","22","7","63","0","3","0"
"Tyler Mahle","SF","SP","130.0","106","8","0","4.13","1.28","60","126","41","16","24","24","8","0"
"Braxton Garrett","MIA","SP","122.0","109","7","0","3.97","1.23","54","121","30","15","29","22","7","1"
"Simeon Woods Richardson","MIN","SP","131.2","117","7","0","4.48","1.32","65","125","49","19","29","25","8","0"
"Tanner Scott","LAD","RP","63.2","72","4","4","3.57","1.23","25","52","25","7","63","0","3","0"
"Cristian Javier","HOU","SP","140.2","127","8","0","4.67","1.33","73","128","58","22","27","27","9","0"
"Slade Cecconi","CLE","SP","152.3","126","8","0","4.47","1.26","76","152","40","25","28","28","10","0"
"Grant Holmes","ATL","SP","120.1","119","7","0","4.23","1.33","57","114","46","16","30","19","6","0"
"Taylor Rogers","MIN","RP","58.8","61","3","17","4.14","1.34","27","54","25","8","61","0","3","0"
"Dustin May","STL","SP","145.0","129","8","0","4.32","1.31","70","136","54","18","31","25","9","0"
"Garrett Cleavinger","TB","RP","63.2","78","4","7","3.42","1.16","24","50","24","7","66","0","3","0"
"Michael McGreevy","STL","SP","136.4","95","8","0","4.15","1.28","63","140","34","16","29","23","8","0"
"Jonah Tong","NYM","SP","29.4","34","2","0","3.56","1.24","12","24","13","3","12","4","2","0"
"Matthew Liberatore","STL","SP","147.5","121","8","0","4.33","1.31","71","146","46","19","28","28","10","0"
"Taj Bradley","MIN","SP","131.7","126","7","0","4.31","1.29","63","124","46","18","30","24","8","0"
"Troy Melton","DET","SP,RP","63.3","58","3","0","4.12","1.27","29","60","20","9","33","6","3","0"
"Garrett Whitlock","BOS","RP","68.0","76","4","3","3.33","1.15","25","59","20","6","63","0","3","0"
"Adrian Morejon","SD","RP","66.9","67","5","3","3.34","1.18","25","58","21","6","68","0","4","0"
"Jose A. Ferrer","SEA","RP","68.6","65","4","3","3.24","1.18","25","61","20","5","68","0","3","0"
"Camilo Doval","NYY","RP","63.2","72","4","4","3.57","1.29","25","51","30","5","64","0","3","0"
"Hurston Waldrep","ATL","SP","61.7","54","4","0","4.40","1.41","30","60","28","7","11","11","4","0"
"Luke Weaver","NYM","RP","66.9","72","4","5","3.96","1.21","29","59","22","10","62","0","3","0"
"Johan Oviedo","BOS","SP","99.6","96","6","0","4.28","1.33","47","90","42","13","35","15","5","0"
"Lucas Erceg","KC","RP","62.2","59","4","3","3.75","1.28","26","56","23","5","62","0","4","0"
"Payton Tolle","BOS","SP,RP","54.1","57","3","0","4.06","1.24","24","48","19","8","27","6","3","0"
"Paul Sewald","ARI","RP","55.8","56","3","8","4.39","1.25","27","51","18","9","57","0","3","0"
"Lucas Giolito","","SP","119.4","107","7","0","4.66","1.36","62","116","46","18","24","21","8","0"
"Tony Santillan","CIN","RP","68.5","72","3","4","4.20","1.33","32","61","30","9","70","0","3","0"
"Luis Morales","ATH","SP","113.3","101","6","0","4.59","1.36","58","107","47","17","27","20","7","0"
"Justin Sterner","ATH","RP","65.2","66","3","8","4.27","1.27","31","59","24","10","63","0","3","0"
"Zack Littell","WSH","SP","137.3","104","8","0","4.52","1.25","69","143","28","23","26","23","9","1"
"Landen Roupp","SF","SP","121.2","113","7","0","4.09","1.35","55","115","48","13","28","23","7","0"
"Phil Maton","CHC","RP","63.9","70","4","5","3.66","1.21","26","53","24","7","66","0","3","0"
"Kumar Rocker","TEX","SP","100.3","90","5","0","4.19","1.29","47","97","32","13","33","16","6","0"
"Jacob Latz","TEX","SP,RP","101.8","98","5","0","4.36","1.38","49","91","49","13","44","11","4","0"
"Michael Soroka","ARI","SP,RP","93.4","93","5","1","4.12","1.26","43","84","34","12","41","11","5","0"
"Tyler Wells","BAL","SP","68.5","62","4","0","4.27","1.19","32","64","18","12","43","4","4","0"
"Jared Jones","PIT","SP","93.7","95","6","0","3.95","1.24","41","85","31","12","20","17","6","0"
"Dean Kremer","BAL","SP","138.1","117","8","0","4.41","1.29","68","135","43","21","34","23","8","0"
"Jordan Leasure","CWS","RP","63.4","71","3","5","4.21","1.30","30","54","28","9","65","0","4","0"
"Andrew Kittredge","BAL","RP","62.5","62","4","5","3.74","1.19","26","58","17","8","63","0","3","0"
"Mick Abel","MIN","SP","104.3","95","5","0","4.62","1.42","54","100","48","14","27","19","7","0"
"Spencer Arrighetti","HOU","SP","86.7","86","5","0","4.57","1.36","44","80","38","13","25","14","5","0"
"Nick Martinez","TB","SP,RP","145.0","112","8","0","4.32","1.27","70","145","40","19","41","22","8","0"
"Matt Brash","SEA","RP","61.7","74","4","3","3.24","1.21","22","50","24","5","63","0","3","0"
"Cole Sands","MIN","SP,RP","67.4","65","4","2","3.93","1.23","29","62","20","8","66","0","4","0"
"Rhett Lowder","CIN","SP","87.9","69","4","0","4.52","1.35","44","90","29","12","27","14","5","0"
"Chris Martin","TEX","RP","52.6","52","3","5","3.44","1.15","20","49","11","6","54","0","3","0"
"Matt Svanson","STL","RP","63.9","59","3","5","3.73","1.29","26","59","24","6","59","0","3","0"
"Alex Vesia","LAD","RP","62.0","78","4","1","3.59","1.16","25","47","25","8","64","0","3","0"
"Hunter Harvey","CHC","RP","50.8","55","3","4","3.37","1.14","19","43","15","5","50","0","2","0"
"Tyler Rogers","TOR","RP","69.8","49","4","2","3.72","1.22","29","70","15","7","72","0","3","0"
"Mark Leiter Jr.","ATH","RP","63.2","68","4","6","4.10","1.32","29","59","24","8","65","0","4","0"
"Kyle Harrison","MIL","SP,RP","77.9","80","4","0","4.22","1.31","37","71","31","11","26","13","4","0"
"Ben Joyce","LAA","RP","45.1","51","2","9","3.71","1.27","19","37","20","4","44","0","2","0"
"Brad Keller","PHI","RP","66.6","61","4","2","4.03","1.33","30","62","27","8","62","0","3","0"
"Hunter Gaddis","CLE","RP","66.6","64","3","3","3.89","1.21","29","60","21","9","65","0","3","0"
"Matt Strahm","KC","RP","64.0","69","4","1","3.54","1.14","25","54","19","8","64","0","3","0"
"Adrian Houser","SF","SP","143.7","104","8","0","4.36","1.37","70","149","48","16","26","26","9","0"
"Gregory Soto","PIT","RP","60.3","64","3","3","3.79","1.30","25","54","24","5","64","0","3","0"
"Calvin Faucher","MIA","RP","64.0","63","3","5","4.06","1.36","29","60","27","7","65","0","4","0"
"Yimi Garcia","TOR","RP","53.8","60","3","5","3.76","1.19","22","45","19","7","54","0","3","0"
"Aaron Ashby","MIL","RP","67.7","70","4","1","3.74","1.37","28","60","33","6","59","0","3","0"
"Brandon Sproat","MIL","SP","68.6","58","4","0","4.24","1.33","32","65","27","8","24","11","4","0"
"Foster Griffin","WSH","RP","125.6","115","6","0","4.14","1.27","58","120","40","16","29","21","7","0"
"Justin Verlander","DET","SP","139.0","115","8","0","4.41","1.30","68","136","46","20","26","26","8","0"
"Gabe Speier","SEA","RP","58.9","69","3","0","3.27","1.11","21","48","17","6","64","0","3","0"
"Alexis Diaz","TEX","RP","56.9","57","3","2","4.65","1.38","29","49","29","8","57","0","3","0"
"Max Scherzer","TOR","SP","86.6","84","5","0","4.36","1.22","42","81","25","15","26","14","5","0"
"Jose Alvarado","PHI","RP","59.2","67","4","3","3.49","1.25","23","50","24","6","60","0","3","0"
"Davis Martin","CWS","SP","149.5","115","7","0","4.59","1.36","76","151","52","21","28","28","10","0"
"Shawn Armstrong","CLE","RP","67.7","67","3","3","3.80","1.21","29","61","21","7","67","0","3","0"
"Jordan Romano","LAA","RP","57.3","61","3","3","4.30","1.29","27","52","22","9","58","0","3","0"
"Kutter Crawford","BOS","SP","80.1","76","5","0","4.21","1.21","37","74","23","12","44","6","4","0"
"Orion Kerkering","PHI","RP","63.2","68","4","1","3.49","1.21","24","54","22","6","65","0","3","0"
"Ben Brown","CHC","SP,RP","54.2","60","3","0","3.84","1.22","23","48","18","7","35","2","3","0"
"Jason Adam","SD","RP","56.2","60","4","1","3.48","1.18","22","46","20","6","56","0","3","0"
"Robert Gasser","MIL","SP","79.5","75","4","0","3.98","1.24","35","74","25","10","36","9","4","0"
"Lance McCullers Jr.","HOU","SP","101.1","97","6","0","4.54","1.43","51","95","50","13","26","19","6","0"
"Jared Koenig","MIL","RP","64.1","65","4","1","3.60","1.23","26","57","22","7","65","0","3","0"
"Tyler Holton","DET","SP,RP","70.6","59","4","1","3.69","1.17","29","65","18","9","67","0","4","0"
"Steven Matz","TB","RP","126.0","106","6","0","4.17","1.28","58","126","35","17","35","21","7","0"
"Graham Ashcraft","CIN","RP","64.4","58","4","2","3.90","1.31","28","63","21","6","59","0","3","0"
"Thomas White","MIA","SP","26.3","27","1","0","4.18","1.40","12","23","13","3","5","5","2","0"
"Dylan Lee","ATL","RP","65.3","73","3","1","3.64","1.16","26","57","19","9","66","0","3","0"
"Joe Boyle","TB","SP,RP","75.7","84","4","0","4.09","1.35","34","62","40","8","24","12","4","0"
"Aaron Civale","ATH","SP,RP","123.8","106","7","0","4.67","1.31","64","122","39","20","23","23","8","0"
"Sean Burke","CWS","SP,RP","141.0","132","7","0","4.76","1.39","75","135","62","23","26","26","10","0"
"Patrick Sandoval","BOS","SP","76.3","70","4","0","4.09","1.39","35","73","32","8","38","9","4","0"
"Christian Scott","NYM","SP","35.3","34","2","0","4.04","1.22","16","33","10","5","22","3","2","0"
"A.J. Minter","NYM","RP","48.9","55","3","1","3.48","1.17","19","40","17","6","49","0","2","0"
"Griffin Canning","SD","SP","95.5","84","5","0","4.46","1.34","47","92","36","14","26","16","6","0"
"Fernando Cruz","NYY","RP","58.9","80","4","2","3.60","1.23","24","46","27","7","59","0","3","0"
"Cole Henry","WSH","RP","62.7","59","2","12","4.78","1.44","33","58","33","9","64","0","3","0"
"Colin Rea","CHC","SP,RP","79.9","64","4","0","4.45","1.30","40","80","24","12","35","8","4","0"
"Kyle Leahy","STL","RP","114.8","95","6","0","4.29","1.35","55","114","41","14","46","14","6","0"
"Louis Varland","TOR","RP","66.2","66","4","2","3.73","1.22","27","61","20","8","62","0","3","0"
"JP Sears","SD","SP","59.6","52","3","0","4.52","1.26","30","58","17","10","20","9","3","0"
"Quinn Mathews","STL","SP","43.8","40","2","0","4.52","1.53","22","40","27","5","9","9","3","0"
"Corbin Burnes","ARI","SP","40.7","39","3","0","3.68","1.20","17","36","13","4","7","7","2","0"
"Javier Assad","CHC","SP","61.6","51","3","0","4.16","1.34","28","59","23","7","41","3","3","0"
"Andre Pallante","STL","SP","137.1","95","8","0","4.33","1.41","66","140","53","13","26","25","9","0"
"Justin Topa","MIN","RP","63.0","52","3","7","4.03","1.33","28","64","20","6","62","0","3","0"
"Drew Pomeranz","LAA","SP,RP","56.3","61","3","2","3.89","1.23","24","50","20","7","59","0","3","0"
"Bryan Baker","TB","RP","63.1","71","3","2","3.87","1.22","27","54","23","8","64","0","3","0"
"Carmen Mlodzinski","PIT","SP,RP","71.3","63","4","0","3.83","1.30","30","68","24","7","45","4","4","0"
"Jakob Junis","TEX","RP","63.3","55","3","0","4.05","1.22","28","61","17","8","57","0","3","0"
"Ryan Thompson","ARI","RP","63.5","52","4","4","3.92","1.30","28","63","19","6","64","0","3","0"
"A.J. Puk","ARI","RP","34.0","40","2","5","3.43","1.17","13","28","11","4","33","0","1","0"
"Anthony Kay","CWS","SP,RP","129.3","106","6","0","4.54","1.39","65","129","52","18","32","22","9","1"
"Keegan Akin","BAL","SP,RP","65.7","66","4","2","4.01","1.27","29","60","24","9","65","0","3","0"
"Bryan King","HOU","RP","64.8","64","4","1","3.63","1.20","26","58","20","8","66","0","3","0"
"Kyle Freeland","COL","SP","160.5","117","7","0","5.04","1.41","90","184","43","26","29","29","12","0"
"Caleb Thielbar","CHC","RP","62.9","65","4","1","3.70","1.20","26","55","21","8","67","0","3","0"
